country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","08-03-2025 22:00:00",28.39072,77.30059,SO2,NA,NA,NA
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","08-03-2025 22:00:00",28.39072,77.30059,CO,NA,NA,NA
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","08-03-2025 22:00:00",28.376058,77.315741,OZONE,19,21,20
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","08-03-2025 22:00:00",28.4417,77.3217,PM2.5,95,128,103
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","08-03-2025 22:00:00",28.4417,77.3217,PM10,113,128,117
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","08-03-2025 22:00:00",28.4417,77.3217,NO2,35,39,37
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","08-03-2025 22:00:00",28.4417,77.3217,NH3,11,12,11
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","08-03-2025 22:00:00",23.076793,72.627874,NH3,NA,NA,NA
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","08-03-2025 22:00:00",23.043070,72.562968,OZONE,1,68,22
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","08-03-2025 22:00:00",23.163798,72.677768,NO2,NA,NA,NA
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","08-03-2025 22:00:00",23.163798,72.677768,NH3,NA,NA,NA
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","08-03-2025 22:00:00",23.163798,72.677768,OZONE,1,12,10
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","08-03-2025 22:00:00",23.243639,72.68994,NO2,21,134,72
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","08-03-2025 22:00:00",12.990328,77.5431385,PM10,36,39,37
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","08-03-2025 22:00:00",13.0246342,77.5080115,NO2,11,12,11
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","08-03-2025 22:00:00",13.0246342,77.5080115,NH3,2,2,2
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","08-03-2025 22:00:00",12.917348,77.622813,CO,11,46,20
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","08-03-2025 22:00:00",23.243639,72.68994,SO2,3,24,7
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","08-03-2025 22:00:00",23.221714,72.654328,PM2.5,31,127,78
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","08-03-2025 22:00:00",20.362421,72.918013,NO2,12,14,14
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","08-03-2025 22:00:00",14.475800,75.905200,CO,26,32,27
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","08-03-2025 22:00:00",14.475800,75.905200,OZONE,18,20,19
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB","08-03-2025 22:00:00",14.791800,75.389600,NO2,29,47,38
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","08-03-2025 22:00:00",17.930306,77.482194,PM2.5,NA,NA,NA
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","08-03-2025 22:00:00",17.930306,77.482194,PM10,NA,NA,NA
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","08-03-2025 22:00:00",13.428828,77.731418,NO2,16,30,21
